FMR_Area,FMR_0Bed,FMR_1Bed,FMR_2Bed,FMR_3Bed,FMR_4Bed,State,msa,county,CountyName,MSAName,stco,pop2000,State_Alpha,FMR_Type
510000103,377,464,565,695,716,51,9999,103,Lancaster County,Lancaster County,51103,11567,VA,40
510000105,250,302,386,496,525,51,9999,105,Lee County,Lee County,51105,23589,VA,40
510000109,469,532,606,725,746,51,9999,109,Louisa County,Louisa County,51109,25627,VA,40
510000111,403,416,485,605,837,51,9999,111,Lunenburg County,Lunenburg County,51111,13146,VA,40
510000113,414,462,558,772,797,51,9999,113,Madison County,Madison County,51113,12520,VA,40
510000117,307,383,472,579,772,51,9999,117,Mecklenburg County,Mecklenburg County,51117,32380,VA,40
510000119,377,464,565,688,709,51,9999,119,Middlesex County,Middlesex County,51119,9932,VA,40
510000121,456,499,559,767,982,51,9999,121,Montgomery County,Montgomery County,51121,99488,VA,40
510000125,401,417,518,715,863,51,9999,125,Nelson County,Nelson County,51125,14445,VA,40
510000131,377,464,565,688,709,51,9999,131,Northampton County,Northampton County,51131,13093,VA,40
510000133,377,464,565,688,709,51,9999,133,Northumberland County,Northumberland County,51133,12259,VA,40
510000135,376,406,452,642,735,51,9999,135,Nottoway County,Nottoway County,51135,15725,VA,40
510000137,376,517,576,838,1011,51,9999,137,Orange County,Orange County,51137,25881,VA,40
510000139,318,371,487,628,647,51,9999,139,Page County,Page County,51139,23177,VA,40
510000141,316,344,381,472,486,51,9999,141,Patrick County,Patrick County,51141,19407,VA,40
510000147,455,456,548,656,878,51,9999,147,Prince Edward County,Prince Edward County,51147,19720,VA,40
510000155,333,352,439,629,676,51,9999,155,Pulaski County,Pulaski County,51155,35127,VA,40
510000157,414,462,558,772,797,51,9999,157,Rappahannock County,Rappahannock County,51157,6983,VA,40
510000159,377,464,565,688,709,51,9999,159,Richmond County,Richmond County,51159,8809,VA,40
510000163,361,406,452,658,793,51,9999,163,Rockbridge County,Rockbridge County,51163,34024,VA,40
510000165,421,468,569,797,819,51,9999,165,Rockingham County,Rockingham County,51165,108193,VA,40
510000167,279,370,428,524,540,51,9999,167,Russell County,Russell County,51167,30308,VA,40
510000171,386,414,506,675,748,51,9999,171,Shenandoah County,Shenandoah County,51171,35075,VA,40
510000173,325,353,393,499,646,51,9999,173,Smyth County,Smyth County,51173,33081,VA,40
510000175,339,469,520,643,915,51,9999,175,Southhampton Cou,Southampton County,51620,25828,VA,40
510000181,403,416,485,605,837,51,9999,181,Surry County,Surry County,51181,6829,VA,40
510000183,403,416,485,615,837,51,9999,183,Sussex County,Sussex County,51183,12504,VA,40
510000185,363,364,436,560,633,51,9999,185,Tazewell County,Tazewell County,51185,44598,VA,40
510000193,381,464,586,804,828,51,9999,193,Westmoreland County,Westmoreland County,51193,16718,VA,40
510000195,351,358,422,549,692,51,9999,195,Wise County,Wise County,51720,44027,VA,40
510000197,305,386,469,615,825,51,9999,197,Wythe County,Wythe County,51197,27599,VA,40
