FIPS,fmr0,fmr1,fmr2,fmr3,fmr4,county,State,CouSub,pop2000,countyname,Metro_code,Areaname,county_town_name,state_alpha,fmr_type,metro
5160099999,1002,1131,1288,1647,2157,600,51,99999,21498,Fairfax city,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Fairfax city,VA,40,1
5161099999,1002,1131,1288,1647,2157,610,51,99999,10377,Falls Church city,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Falls Church city,VA,40,1
5162099999,404,558,619,766,1089,620,51,99999,8346,Franklin city,NCNTY51175N51175,"Southampton County-Franklin city, VA HUD Nonmetro FMR Area",Franklin city,VA,40,0
5163099999,1002,1131,1288,1647,2157,630,51,99999,19279,Fredericksburg city,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Fredericksburg city,VA,40,1
5164099999,463,502,557,668,742,640,51,99999,6837,Galax city,NCNTY51035N51035,"Carroll County-Galax city, VA HUD Nonmetro FMR Area",Galax city,VA,40,0
5165099999,749,781,904,1236,1490,650,51,99999,146437,Hampton city,METRO47260M47260,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",Hampton city,VA,40,1
5166099999,500,556,676,947,973,660,51,99999,40468,Harrisonburg city,METRO25500M25500,"Harrisonburg, VA MSA",Harrisonburg city,VA,40,1
5167099999,764,828,925,1234,1474,670,51,99999,22354,Hopewell city,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",Hopewell city,VA,50,1
5167899999,445,500,557,811,977,678,51,99999,6867,Lexington city,NCNTY51163N51163,"Rockbridge County-Buena Vista city-Lexington city, VA HUD Nonmetro FMR Area",Lexington city,VA,40,0
5168099999,501,514,619,763,852,680,51,99999,65269,Lynchburg city,METRO31340M31340,"Lynchburg, VA MSA",Lynchburg city,VA,40,1
5168399999,1002,1131,1288,1647,2157,683,51,99999,35135,Manassas city,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Manassas city,VA,40,1
5168599999,1002,1131,1288,1647,2157,685,51,99999,10290,Manassas Park city,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Manassas Park city,VA,40,1
5169099999,429,447,557,714,818,690,51,99999,15416,Martinsville city,NCNTY51089N51089,"Henry County-Martinsville city, VA HUD Nonmetro FMR Area",Martinsville city,VA,40,0
5170099999,749,781,904,1236,1490,700,51,99999,180150,Newport News city,METRO47260M47260,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",Newport News city,VA,40,1
5171099999,749,781,904,1236,1490,710,51,99999,234403,Norfolk city,METRO47260M47260,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",Norfolk city,VA,40,1
5172099999,463,472,557,725,913,720,51,99999,3904,Norton city,NCNTY51195N51195,"Wise County-Norton city, VA HUD Nonmetro FMR Area",Norton city,VA,40,0
5173099999,764,828,925,1234,1474,730,51,99999,33740,Petersburg city,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",Petersburg city,VA,50,1
5173599999,749,781,904,1236,1490,735,51,99999,11566,Poquoson city,METRO47260M47260,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",Poquoson city,VA,40,1
5174099999,749,781,904,1236,1490,740,51,99999,100565,Portsmouth city,METRO47260M47260,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",Portsmouth city,VA,40,1
5175099999,543,594,665,912,1168,750,51,99999,15859,Radford city,METRO13980N51121,"Blacksburg-Christiansburg-Radford, VA HUD Metro FMR Area",Radford city,VA,40,1
5176099999,764,828,925,1234,1474,760,51,99999,197790,Richmond city,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",Richmond city,VA,50,1
5177099999,497,529,683,867,946,770,51,99999,94911,Roanoke city,METRO40220M40220,"Roanoke, VA HUD Metro FMR Area",Roanoke city,VA,40,1
5177599999,497,529,683,867,946,775,51,99999,24747,Salem city,METRO40220M40220,"Roanoke, VA HUD Metro FMR Area",Salem city,VA,40,1
5179099999,486,501,653,934,1074,790,51,99999,23853,Staunton city,NCNTY51015N51015,"Augusta County-Staunton city-Waynesboro city, VA HUD Nonmetro FMR Area",Staunton city,VA,40,0
5180099999,749,781,904,1236,1490,800,51,99999,63677,Suffolk city,METRO47260M47260,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",Suffolk city,VA,40,1
5181099999,749,781,904,1236,1490,810,51,99999,425257,Virginia Beach city,METRO47260M47260,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",Virginia Beach city,VA,40,1
5182099999,486,501,653,934,1074,820,51,99999,19520,Waynesboro city,NCNTY51015N51015,"Augusta County-Staunton city-Waynesboro city, VA HUD Nonmetro FMR Area",Waynesboro city,VA,40,0
5183099999,749,781,904,1236,1490,830,51,99999,11998,Williamsburg city,METRO47260M47260,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",Williamsburg city,VA,40,1
5184099999,547,568,749,1034,1064,840,51,99999,23585,Winchester city,METRO49020M49020,"Winchester, VA-WV MSA",Winchester city,VA,40,1
